Symbol,marketCap,trailingPE,forwardPE,priceToBook,trailingEps,forwardEps,bookValue,payoutRatio,beta,fiveYearAvgDividendYield,52WeekChange,averageVolume,enterpriseToRevenue,profitMargins
SMCI,-0.224480850072655,-0.07630536532433409,-0.3271472079914164,0.05814311955726739,-0.2855980200045223,-0.24459374235251125,-0.0461483612239054,-0.1133839168992577,1.324106127927415,-1.170370778133352,2.6839890316398094,1.831746234415919,-0.5021626514812723,-0.6365498096698864
STX,-0.1638081331866329,-0.03400992533711614,0.0813660620571882,-8.868583312178487,-0.023166509658643437,-0.0422296866041201,-0.046674437239620316,-0.07156286278042051,1.4918611400127764,1.0052430231277245,4.168875843894787,-0.14520325872608353,0.13629683637798387,0.3030347427273607
MAA,-0.2584050324443015,-0.1105438545490437,0.1706758495427954,0.036268931740789184,-0.1548124804223138,-0.2479294136011111,-0.044261996734201274,0.030778245310766984,-0.4722704598199929,0.9727711753477082,-0.64714007815367,-0.39094547344400393,0.5588723940845337,0.825494634922088
FDS,-0.2707759019717821,-0.2185188963870282,-0.2689752432179525,0.05587826172494195,0.31111100433930383,0.29059617797839876,-0.04385738969670436,-0.08225285362226555,-0.4513010833093227,-0.585877518093063,-1.3794467505274566,-0.40335693247391,-0.039438360364983056,0.8599393987078708
NRG,-0.21627619921788688,0.4087116410566213,0.025967685757380586,0.2154479279341148,-0.2580642221977415,-0.14600612544944888,-0.046254049369434766,-0.0307372787082313,0.3804841849472591,0.6935132844395702,2.3626780029725682,-0.27259037297024175,-0.48499467456869005,-0.8506504575997733
BBY,-0.2542605966765794,-0.15984991157361436,-0.32850508775732523,0.07323494289829334,-0.20170597981198723,-0.1482299062818488,-0.04603721976310442,0.0044095899220562475,0.6134772572880386,1.4143883051559267,-0.48295917947926026,-0.19764726745668404,-0.6273401839304933,-0.8440759383709517
SNA,-0.25325591546600557,-0.2108900676687242,-0.1993739091073447,0.04071872896754416,0.4621166766858668,0.3439669179559965,-0.041260019066322505,-0.06258100804134645,-0.47926025199021627,0.40776102397542885,-0.14286836260550334,-0.4324250448439385,-0.23572105703482005,0.4392415587666519
L,-0.24627431306788505,-0.2318109163922568,0.2644902491003827,0.02255980746074693,-0.08683841708682388,-0.2942581809427758,-0.04258633290357533,-0.10889298952972068,-0.5934268574371983,-0.9170903654492267,0.7039084753699306,-0.3980000402235499,-0.5047310889721309,-0.44395927356473114
PFG,-0.2517206009114792,-0.27069901904208726,-0.38369937906615015,0.02642273516325362,-0.06446720636881452,-0.08892908408451805,-0.04410722875122744,-0.06329367409746944,0.11487208247877054,1.1091529360237757,-0.10311771793722382,-0.3676924768624283,-0.5498815164430164,-0.26608990782781117
STLD,-0.24135046394655735,-0.17953517226904164,-0.23260786524317625,0.03594075004619468,-0.03263125265472434,-0.029628261887187316,-0.043690074262663116,-0.08401755278557348,1.0049056188205476,-0.16374349695285403,0.28973029750355606,-0.35896450191346185,-0.49297034888240937,-0.521066950172324
